name,address,city,state,zip,lat,lng
Perry KOA Holiday,3641 South Byron Butler Pkwy,Perry,Florida,32348,29.977404,-83.596157
Orlando NW / Orange Blossom KOA Journey,3800 W Orange Blossom Trail,Apopka,Florida,32712,28.748602,-81.48014
Orlando / Kissimmee KOA Holiday,2644 Happy Camper Place,Kissimmee,Florida,34746,28.238826,-81.445346
Orlando Southwest KOA Holiday,2525 Frontage Road,Davenport,Florida,33837,28.194772,-81.58751
Okeechobee KOA Resort,4276 US Highway 441 South,Okeechobee,Florida,34974,27.145973,-80.949686
Moore Haven KOA Holiday,17192 US Hwy 27,Moore Haven,Florida,33471,26.884624,-81.198234
Naples / Marco Island KOA Holiday,1700 Barefoot Williams Road,Naples,Florida,34113,26.043649,-81.732424
Fort Pierce West KOA Holiday,3180 S Jenkins Rd,Fort Pierce,Florida,34981,27.395528,-80.377424
Milton / Gulf Pines KOA Holiday,8700 Gulf Pines Drive,Milton,Florida,32583,30.592511,-86.971003
Hollywood KOA,5931 Polk Street,Hollywood,Florida,33021,26.02313,-80.186539
Fort Pierce Downtown KOA Journey,1821 N. US Hwy 1,Fort Pierce,Florida,34946,27.503294,-80.36048
Jennings KOA Holiday,2039 Hamilton Avenue,Jennings,Florida,32053,30.575561,-83.12606
Fort Myers / Pine Island KOA Holiday,5120 Stringfellow Road,St. James City,Florida,33956,26.546315,-82.143657
Davie / Ft. Lauderdale KOA Holiday,3800 SW 142 Avenue,Davie,Florida,33330,26.060831,-80.319086
Fort McCoy / Lake Oklawaha KOA Holiday,15991 NE 243rd Place Road,Fort McCoy,Florida,32134,29.385007,-81.837948
Bradenton / Hunsader Farms KOA Holiday,5500 C.R. 675,Bradenton,Florida,34211,27.453604,-82.377071
Steamboat Springs KOA Holiday,3603 Lincoln Avenue,Steamboat Springs,Colorado,80487,40.540952,-106.850132
Clearwater / Lake Tarpon KOA Holiday,37061 US Hwy 19 N,Palm Harbor,Florida,34684,28.080744,-82.726829
Salida / Mt. Shavano KOA Journey,16105 US 50 West,Salida,Colorado,81201,38.554832,-106.066038
Pueblo South / Colorado City KOA Holiday,"9040 Interstate 25 South @ Exit 74,",Pueblo,Colorado,81004,38.044054,-104.71441
Pueblo KOA Journey,"4131 Interstate 25 North, Exit 108",Pueblo,Colorado,81008,38.441619,-104.621526
Ouray KOA Holiday,225 CR 23,Ridgway,Colorado,81432,38.097119,-107.754925
Montrose / Black Canyon Nat'l Park KOA Journey,200 N Cedar Avenue,Montrose,Colorado,81401,38.484153,-107.772919
Grand Lake / Rocky Mountain National Park KOA Journey,143 Co Rd 48,Grand Lake,Colorado,80447,40.296598,-105.762357
Limon KOA Journey,575 Colorado Avenue,Limon-2215,Colorado,80828,39.327762,-103.74791
