address,city,lat,lng,name,state,zip
N9657 State Road 95,Alma Center,,,Hixton / Alma Center KOA Holiday,Ontario,54611
838 McClendon Road,Hot Springs,,,Hot Springs National Park KOA Holiday,Ontario,71901
11544 North US Highway 63,Hayward,,,Hayward KOA Holiday,Ontario,54843
7037 I-55,Marion,,,Memphis KOA Journey,Ontario,72364
3629 Highway 65N,Harrison,,,Harrison KOA Holiday,West Virginia,72601
9245 Lovers Lane,Brussels,,,Door County KOA Holiday,West Virginia,54204
N5456 Division Rd.,Glenbeulah,,,Fond du Lac East / Kettle Moraine KOA Holiday,West Virginia,53023
343 Campground Road,Harpers Ferry,,,Harpers Ferry / Civil War Battlefields KOA Holiday,Illinois,25425
290 Fox Fire Road,Milton,,,Huntington / Fox Fire KOA Holiday,Illinois,25541
2400 US-25,Travelers Rest,,,Travelers Rest / N Greenville KOA Holiday,Illinois,29690
485 North Bear Lake Blvd,Garden City,,,Bear Lake / Marina Side KOA Holiday,Illinois,84028
231 KOA Road,Wytheville,,,Wytheville KOA Holiday,Illinois,24382
930 North Vernal Avenue,Vernal,,,Vernal / Dinosaurland KOA Holiday,Illinois,84078
5800 North Old Highway 91,Hurricane,,,St. George / Hurricane KOA Journey,Illinois,84737
79 First Crown Point Road,Strafford,,,Strafford / Lake Winnipesaukee South KOA Holiday,Illinois,03884
397 Animal Safari Road,Branson,,,Branson KOA Holiday,Illinois,65616
14601 Highway 6,Gretna,,,West Omaha / NE Lincoln KOA Holiday,Illinois,68028
18475 Old US Hwy 66,Eureka,,,St. Louis West / Historic Route 66 KOA Holiday,Illinois,63025
372 Route 115,Twin Mountain,,,Twin Mountain / Mt. Washington KOA Holiday,Illinois,03595
438 Plymouth Street,Middleboro,,,Boston / Cape Cod KOA Holiday,Illinois,02346
4550 La Porte Rd ( Hess Rd),Waterloo,,,Waterloo / Lost Island Waterpark KOA Resort,Illinois,50701
21788 Dogwood Avenue,Onawa-8665,,,Onawa / Blue Lake KOA Holiday,Illinois,51040
3157 West Chain of Rocks Road,Granite City,,,St. Louis N.E. / I-270 / Granite City  KOA Journey,Illinois,62040
2311 78th Avenue West,Rock Island,,,Rock Island / Quad Cities KOA Holiday,Illinois,61201
10982 US Highway 20 West,Lena,,,Lena KOA Holiday,Illinois,61048
4320 KOA Road,Rochester,,,Springfield KOA Journey,Illinois,62563
200 Koehler St.,Grayville,,,Grayville / I-64 KOA Holiday,Illinois,62844
425 East 6000 South Road,Chebanse,,,Kankakee South KOA Holiday,Illinois,60922
1081 US HWY 150 E,Knoxville,,,Galesburg East / Knoxville KOA Journey,Illinois,61448
8404 South Union Road,Union,,,Chicago Northwest KOA Holiday,Illinois,60180
1500 North DuQuoin Street,Benton,,,Benton KOA Journey,Illinois,62812
24787 Luckey Road,Perrysburg,,,Toledo East / Stony Ridge KOA Journey,Illinois,43551
1440 Highway 1383,Russell Springs,,,Russell Springs KOA Journey,Illinois,42642
